"id" "neighbourhood_group" "room_type" "price" "availability_365"
2539 "Brooklyn" "Private room" 149 365
2595 "Manhattan" "Entire home/apt" 225 355
3647 "Manhattan" "Private room" 150 365
3831 "Brooklyn" "Entire home/apt" 89 194
5022 "Manhattan" "Entire home/apt" 80 0
5099 "Manhattan" "Entire home/apt" 200 129
5121 "Brooklyn" "Private room" 60 0
5178 "Manhattan" "Private room" 79 220
5203 "Manhattan" "Private room" 79 0
5238 "Manhattan" "Entire home/apt" 150 188
5295 "Manhattan" "Entire home/apt" 135 6
5441 "Manhattan" "Private room" 85 39
5803 "Brooklyn" "Private room" 89 314
6021 "Manhattan" "Private room" 85 333
6090 "Manhattan" "Entire home/apt" 120 0
6848 "Brooklyn" "Entire home/apt" 140 46
7097 "Brooklyn" "Entire home/apt" 215 321
7322 "Manhattan" "Private room" 140 12
7726 "Brooklyn" "Entire home/apt" 99 21
7750 "Manhattan" "Entire home/apt" 190 249
7801 "Brooklyn" "Entire home/apt" 299 0
8024 "Brooklyn" "Private room" 130 347
8025 "Brooklyn" "Private room" 80 364
8110 "Brooklyn" "Private room" 110 304
8490 "Brooklyn" "Entire home/apt" 120 233
8505 "Brooklyn" "Private room" 60 85
8700 "Manhattan" "Private room" 80 0
9357 "Manhattan" "Entire home/apt" 150 75
9518 "Manhattan" "Private room" 44 311
9657 "Manhattan" "Entire home/apt" 180 67
9668 "Manhattan" "Private room" 50 355
9704 "Manhattan" "Private room" 52 255
9782 "Brooklyn" "Private room" 55 284
9783 "Manhattan" "Private room" 50 359
10452 "Brooklyn" "Private room" 70 269
10962 "Brooklyn" "Private room" 89 340
11452 "Brooklyn" "Private room" 35 365
11708 "Brooklyn" "Entire home/apt" 85 22
11943 "Brooklyn" "Private room" 150 365
12048 "Manhattan" "Shared room" 40 188
12192 "Manhattan" "Private room" 68 96
12299 "Brooklyn" "Entire home/apt" 120 345
12303 "Brooklyn" "Private room" 120 311
12318 "Manhattan" "Private room" 135 273
12343 "Manhattan" "Entire home/apt" 150 309
12627 "Brooklyn" "Entire home/apt" 150 95
12937 "Queens" "Private room" 130 215
12940 "Brooklyn" "Entire home/apt" 110 265
13050 "Brooklyn" "Entire home/apt" 115 0
13394 "Brooklyn" "Private room" 80 192
13808 "Brooklyn" "Private room" 80 251
14287 "Manhattan" "Entire home/apt" 151 302
14290 "Brooklyn" "Entire home/apt" 228 140
14314 "Brooklyn" "Entire home/apt" 144 234
14322 "Manhattan" "Entire home/apt" 200 257
14377 "Brooklyn" "Entire home/apt" 150 30
14991 "Manhattan" "Private room" 110 301
15220 "Manhattan" "Private room" 69 294
15338 "Brooklyn" "Private room" 49 320
15341 "Manhattan" "Entire home/apt" 180 154
15385 "Brooklyn" "Private room" 80 263
15396 "Manhattan" "Entire home/apt" 375 180
15711 "Manhattan" "Entire home/apt" 250 231
16326 "Brooklyn" "Entire home/apt" 200 297
16338 "Brooklyn" "Private room" 55 292
16421 "Manhattan" "Private room" 52 191
16458 "Brooklyn" "Entire home/apt" 225 0
16580 "Manhattan" "Private room" 80 72
16595 "Brooklyn" "Entire home/apt" 275 362
16821 "Manhattan" "Private room" 99 336
16974 "Manhattan" "Entire home/apt" 225 215
17037 "Manhattan" "Entire home/apt" 230 116
17092 "Manhattan" "Private room" 51 88
17693 "Manhattan" "Private room" 65 336
17747 "Brooklyn" "Private room" 105 304
18127 "Manhattan" "Entire home/apt" 190 224
18152 "Manhattan" "Private room" 200 322
18198 "Queens" "Private room" 70 324
18590 "Brooklyn" "Private room" 95 132
18728 "Manhattan" "Private room" 150 295
18764 "Brooklyn" "Private room" 145 238
19159 "Manhattan" "Entire home/apt" 110 209
19169 "Manhattan" "Entire home/apt" 285 328
19282 "Brooklyn" "Entire home/apt" 130 38
19319 "Manhattan" "Private room" 94 188
19601 "Brooklyn" "Entire home/apt" 800 7
19812 "Brooklyn" "Entire home/apt" 105 272
20299 "Manhattan" "Private room" 60 26
20300 "Manhattan" "Private room" 50 0
20611 "Brooklyn" "Private room" 85 288
20724 "Brooklyn" "Private room" 65 317
20734 "Brooklyn" "Entire home/apt" 131 207
20755 "Brooklyn" "Private room" 98 185
20853 "Brooklyn" "Entire home/apt" 250 158
20913 "Brooklyn" "Entire home/apt" 100 0
21293 "Brooklyn" "Entire home/apt" 105 9
21456 "Manhattan" "Entire home/apt" 140 198
21644 "Manhattan" "Private room" 89 365
21794 "Manhattan" "Private room" 98 364
22911 "Brooklyn" "Entire home/apt" 125 311
22918 "Manhattan" "Private room" 60 219
23135 "Brooklyn" "Entire home/apt" 175 342
23501 "Manhattan" "Private room" 65 312
23686 "Manhattan" "Entire home/apt" 500 243
24143 "Brooklyn" "Private room" 101 152
24285 "Brooklyn" "Entire home/apt" 220 9
25235 "Brooklyn" "Entire home/apt" 125 137
25406 "Brooklyn" "Entire home/apt" 80 222
25696 "Manhattan" "Private room" 100 346
26012 "Brooklyn" "Entire home/apt" 200 208
26362 "Manhattan" "Private room" 59 279
26520 "Brooklyn" "Private room" 125 250
26559 "Manhattan" "Entire home/apt" 140 164
26785 "Brooklyn" "Entire home/apt" 120 192
26933 "Manhattan" "Entire home/apt" 350 298
26954 "Manhattan" "Entire home/apt" 199 260
26969 "Brooklyn" "Entire home/apt" 325 107
27006 "Manhattan" "Entire home/apt" 235 199
27385 "Manhattan" "Entire home/apt" 225 299
27531 "Brooklyn" "Private room" 99 20
27644 "Manhattan" "Entire home/apt" 170 318
27659 "Brooklyn" "Entire home/apt" 400 216
27759 "Manhattan" "Entire home/apt" 170 224
27883 "Manhattan" "Entire home/apt" 100 0
28321 "Brooklyn" "Private room" 75 324
28396 "Brooklyn" "Private room" 90 245
28907 "Manhattan" "Entire home/apt" 150 189
29012 "Manhattan" "Private room" 85 307
29013 "Brooklyn" "Private room" 70 310
29455 "Manhattan" "Entire home/apt" 120 213
29628 "Brooklyn" "Private room" 89 278
29683 "Manhattan" "Entire home/apt" 185 209
30031 "Brooklyn" "Private room" 50 0
30927 "Manhattan" "Entire home/apt" 105 16
31130 "Manhattan" "Private room" 130 234
31555 "Manhattan" "Entire home/apt" 115 12
31902 "Brooklyn" "Private room" 77 178
31994 "Brooklyn" "Private room" 76 275
32023 "Brooklyn" "Entire home/apt" 125 163
32037 "Brooklyn" "Private room" 135 365
32100 "Brooklyn" "Entire home/apt" 250 34
32289 "Brooklyn" "Entire home/apt" 199 280
32331 "Brooklyn" "Entire home/apt" 140 0
32363 "Queens" "Private room" 140 1
32965 "Brooklyn" "Entire home/apt" 115 170
32969 "Brooklyn" "Entire home/apt" 160 188
33009 "Brooklyn" "Entire home/apt" 195 214
33014 "Manhattan" "Entire home/apt" 195 248
33223 "Brooklyn" "Private room" 80 262
34760 "Brooklyn" "Private room" 44 280
35526 "Manhattan" "Private room" 156 307
36121 "Brooklyn" "Private room" 85 339
36133 "Brooklyn" "Private room" 125 1
36442 "Brooklyn" "Entire home/apt" 115 269
36647 "Manhattan" "Private room" 69 10
36703 "Manhattan" "Entire home/apt" 225 312
36934 "Brooklyn" "Entire home/apt" 125 189
38638 "Manhattan" "Entire home/apt" 219 290
38663 "Brooklyn" "Entire home/apt" 475 230
39267 "Manhattan" "Entire home/apt" 99 164
39282 "Brooklyn" "Private room" 69 53
39593 "Queens" "Private room" 79 126
39704 "Brooklyn" "Entire home/apt" 135 3
